Year,Month,Day,Hour,Minute,GHI,Wind Speed,Relative Humidity,Temperature,Pressure
2019,1,1,0,0,0,1.1,67.16,9.4,780
2019,1,1,0,30,0,1.1,68.53,9.1,780
2019,1,1,1,0,0,1.1,69.25,8.9,780
2019,1,1,1,30,0,1.1,69.71,8.8,780
2019,1,1,2,0,0,1.1,70.63,8.8,780
2019,1,1,2,30,0,1.1,70.63,8.8,780
2019,1,1,3,0,0,1.1,72.2,8.8,780
2019,1,1,3,30,0,1.1,72.69,8.7,780
2019,1,1,4,0,0,1,74.22,8.7,780
2019,1,1,4,30,0,1,74.22,8.7,780
2019,1,1,5,0,0,0.9,75.36,8.6,780
2019,1,1,5,30,0,0.8,75.36,8.6,780
2019,1,1,6,0,0,0.7,74.8,8.5,780
2019,1,1,6,30,0,0.6,74.3,8.6,780
2019,1,1,7,0,0,0.5,72.68,8.7,781
2019,1,1,7,30,44,0.7,64,10.6,781
2019,1,1,8,0,145,0.9,58.76,12.5,781
2019,1,1,8,30,261,1,51.6,14.5,781
2019,1,1,9,0,377,1.1,39.02,16.5,781
2019,1,1,9,30,486,0.9,35.5,18,781
2019,1,1,10,0,584,0.8,29.12,19.5,781
2019,1,1,10,30,669,0.8,27.54,20.4,781
2019,1,1,11,0,739,0.7,25.31,21.4,781
2019,1,1,11,30,789,0.8,24.37,22,780
2019,1,1,12,0,822,0.8,23.43,22.6,780
2019,1,1,12,30,835,0.8,22.98,22.9,779
2019,1,1,13,0,762,0.8,22.59,23.3,779
2019,1,1,13,30,789,0.8,22.59,23.3,779
2019,1,1,14,0,750,0.7,22.91,23.3,778
2019,1,1,14,30,628,0.5,23.19,23.1,778
2019,1,1,15,0,493,0.3,23.99,22.8,778
2019,1,1,15,30,429,0.4,24.88,22.2,778
2019,1,1,16,0,419,0.5,27.57,21.5,778
2019,1,1,16,30,314,0.4,30.83,19.7,779
2019,1,1,17,0,203,0.3,46.16,17.9,779
2019,1,1,17,30,102,0.3,46.16,17.9,779
2019,1,1,18,0,17,0.2,55.33,14.5,779
2019,1,1,18,30,0,0.2,57.59,13.9,780
2019,1,1,19,0,0,0.1,59.09,13.3,780
2019,1,1,19,30,0,0.2,60.65,12.9,780
2019,1,1,20,0,0,0.3,60.47,12.5,781
2019,1,1,20,30,0,0.3,62.08,12.1,781
2019,1,1,21,0,0,0.3,61.7,11.8,781
2019,1,1,21,30,0,0.3,63.77,11.3,781
2019,1,1,22,0,0,0.2,65.69,10.8,781
2019,1,1,22,30,0,0.2,67.46,10.4,781
2019,1,1,23,0,0,0.3,69.15,9.9,781
2019,1,1,23,30,0,0.4,71.5,9.4,781
2019,1,2,0,0,0,0.5,72.72,8.9,781
2019,1,2,0,30,0,0.6,74.7,8.5,781
2019,1,2,1,0,0,0.6,75.43,8.1,781
2019,1,2,1,30,0,0.7,75.43,8.1,781
2019,1,2,2,0,0,0.8,73.76,8.1,781
2019,1,2,2,30,0,0.9,74.26,8,781
2019,1,2,3,0,0,1,71.75,7.9,780
2019,1,2,3,30,0,1,72.73,7.7,780
2019,1,2,4,0,0,1.1,71.53,7.6,780
2019,1,2,4,30,0,1.1,71.53,7.6,780
2019,1,2,5,0,0,1.1,70.06,7.6,780
2019,1,2,5,30,0,1,71.02,7.4,780
2019,1,2,6,0,0,1,70.85,7.3,781
