Year,Month,Day,Hour,Minute,DNI
2016,1,1,0,0,0
2016,1,1,0,30,0
2016,1,1,1,0,0
2016,1,1,1,30,0
2016,1,1,2,0,0
2016,1,1,2,30,0
2016,1,1,3,0,0
2016,1,1,3,30,0
2016,1,1,4,0,0
2016,1,1,4,30,0
2016,1,1,5,0,0
2016,1,1,5,30,0
2016,1,1,6,0,0
2016,1,1,6,30,0
2016,1,1,7,0,0
2016,1,1,7,30,247
2016,1,1,8,0,541
2016,1,1,8,30,694
2016,1,1,9,0,795
2016,1,1,9,30,857
2016,1,1,10,0,901
2016,1,1,10,30,932
2016,1,1,11,0,955
2016,1,1,11,30,970
2016,1,1,12,0,979
2016,1,1,12,30,982
2016,1,1,13,0,981
2016,1,1,13,30,975
2016,1,1,14,0,962
2016,1,1,14,30,944
2016,1,1,15,0,915
2016,1,1,15,30,879
2016,1,1,16,0,822
2016,1,1,16,30,750
2016,1,1,17,0,636
2016,1,1,17,30,452
2016,1,1,18,0,107
2016,1,1,18,30,0
2016,1,1,19,0,0
2016,1,1,19,30,0
2016,1,1,20,0,0
2016,1,1,20,30,0
2016,1,1,21,0,0
2016,1,1,21,30,0
2016,1,1,22,0,0
2016,1,1,22,30,0
2016,1,1,23,0,0
2016,1,1,23,30,0
2016,1,2,0,0,0
2016,1,2,0,30,0
2016,1,2,1,0,0
2016,1,2,1,30,0
2016,1,2,2,0,0
2016,1,2,2,30,0
2016,1,2,3,0,0
2016,1,2,3,30,0
2016,1,2,4,0,0
2016,1,2,4,30,0
2016,1,2,5,0,0
2016,1,2,5,30,0
2016,1,2,6,0,0
2016,1,2,6,30,0
2016,1,2,7,0,0
2016,1,2,7,30,173
2016,1,2,8,0,469
2016,1,2,8,30,63
2016,1,2,9,0,24
2016,1,2,9,30,232
2016,1,2,10,0,863
2016,1,2,10,30,895
2016,1,2,11,0,920
2016,1,2,11,30,935
2016,1,2,12,0,936
2016,1,2,12,30,940
2016,1,2,13,0,939
2016,1,2,13,30,933
2016,1,2,14,0,155
2016,1,2,14,30,910
2016,1,2,15,0,874
2016,1,2,15,30,838
2016,1,2,16,0,43
2016,1,2,16,30,35
2016,1,2,17,0,606
2016,1,2,17,30,420
2016,1,2,18,0,82
2016,1,2,18,30,0
2016,1,2,19,0,0
2016,1,2,19,30,0
2016,1,2,20,0,0
2016,1,2,20,30,0
2016,1,2,21,0,0
2016,1,2,21,30,0
2016,1,2,22,0,0
2016,1,2,22,30,0
2016,1,2,23,0,0
2016,1,2,23,30,0
2016,1,3,0,0,0
2016,1,3,0,30,0
2016,1,3,1,0,0
2016,1,3,1,30,0
2016,1,3,2,0,0
2016,1,3,2,30,0
2016,1,3,3,0,0
2016,1,3,3,30,0
2016,1,3,4,0,0
2016,1,3,4,30,0
2016,1,3,5,0,0
2016,1,3,5,30,0
2016,1,3,6,0,0
2016,1,3,6,30,0
2016,1,3,7,0,0
2016,1,3,7,30,179
2016,1,3,8,0,466
2016,1,3,8,30,303
2016,1,3,9,0,158
2016,1,3,9,30,224
2016,1,3,10,0,115
2016,1,3,10,30,418
2016,1,3,11,0,332
2016,1,3,11,30,420
2016,1,3,12,0,316
2016,1,3,12,30,64
2016,1,3,13,0,195
2016,1,3,13,30,59
2016,1,3,14,0,15
2016,1,3,14,30,438
2016,1,3,15,0,9
2016,1,3,15,30,830
2016,1,3,16,0,224
2016,1,3,16,30,199
2016,1,3,17,0,168
2016,1,3,17,30,380
2016,1,3,18,0,65
2016,1,3,18,30,0
2016,1,3,19,0,0
2016,1,3,19,30,0
2016,1,3,20,0,0
2016,1,3,20,30,0
2016,1,3,21,0,0
2016,1,3,21,30,0
2016,1,3,22,0,0
2016,1,3,22,30,0
2016,1,3,23,0,0
2016,1,3,23,30,0
2016,1,4,0,0,0
2016,1,4,0,30,0
2016,1,4,1,0,0
