Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2019,1,1,0,0,0,0,0,0,0,0,0,3.6,169.98,0,0.13,1.1,0.9,144,67.16,9.4,780,0,0
2019,1,1,0,30,0,0,0,0,0,0,0,3.6,175.67,0,0.13,1.1,0.9,153,68.53,9.1,780,0,0
2019,1,1,1,0,0,0,0,0,0,0,0,3.6,174.11,0,0.13,1.1,0.9,162,69.25,8.9,780,0,0
2019,1,1,1,30,0,0,0,0,0,0,0,3.6,167.82,0,0.13,1.1,0.9,168,69.71,8.8,780,0,0
2019,1,1,2,0,0,0,0,0,0,0,0,3.8,161.05,0,0.13,1.1,0.9,175,70.63,8.8,780,0,0
2019,1,1,2,30,0,0,0,0,0,0,0,3.8,154.17,0,0.13,1.1,0.9,179,70.63,8.8,780,0,0
2019,1,1,3,0,0,0,0,0,0,0,0,4.1,147.28,0,0.13,1.1,0.9,184,72.2,8.8,780,0,0
2019,1,1,3,30,0,0,0,0,0,0,0,4.1,140.38,0,0.13,1.1,0.9,187,72.69,8.7,780,0,0
2019,1,1,4,0,0,0,0,0,0,0,0,4.4,133.5,0,0.13,1,0.9,191,74.22,8.7,780,0,0
2019,1,1,4,30,0,0,0,0,0,0,0,4.4,126.64,0,0.13,1,0.9,193,74.22,8.7,780,0,0
2019,1,1,5,0,0,0,0,0,0,0,0,4.5,119.82,0,0.13,0.9,0.8,195,75.36,8.6,780,0,0
2019,1,1,5,30,0,0,0,0,0,0,0,4.5,113.05,0,0.13,0.8,0.8,193,75.36,8.6,780,0,0
2019,1,1,6,0,0,0,0,0,0,0,0,4.3,106.33,0,0.13,0.7,0.8,191,74.8,8.5,780,0,0
2019,1,1,6,30,0,0,0,0,0,0,0,4.3,99.69,0,0.13,0.6,0.8,185,74.3,8.6,780,0,0
2019,1,1,7,0,0,0,0,0,0,0,0,4.1,93.14,0,0.13,0.5,0.8,179,72.68,8.7,781,0,0
2019,1,1,7,30,26,300,44,26,300,44,0,4.1,86.54,0,0.13,0.7,0.7,174,64,10.6,781,0,0
2019,1,1,8,0,43,606,145,43,606,145,0,4.6,80.34,0,0.13,0.9,0.7,169,58.76,12.5,781,0,0
2019,1,1,8,30,55,760,261,55,760,261,0,4.6,74.26,0,0.13,1,0.7,166,51.6,14.5,781,12.8474,9.8861
2019,1,1,9,0,63,853,377,63,853,377,0,2.5,68.4,0,0.13,1.1,0.7,163,39.02,16.5,781,19.5718,15.1847
2019,1,1,9,30,69,913,486,69,913,486,0,2.5,62.82,0,0.13,0.9,0.7,167,35.5,18,781,26.3238,20.5236
2019,1,1,10,0,74,953,584,74,953,584,0,1,57.64,0,0.13,0.8,0.7,172,29.12,19.5,781,32.621,25.5091
2019,1,1,10,30,78,981,669,78,981,669,0,1,52.95,0,0.13,0.8,0.7,184,27.54,20.4,781,38.2026,29.9303
2019,1,1,11,0,82,1000,739,82,1000,739,0,0.7,48.91,0,0.13,0.7,0.7,196,25.31,21.4,781,42.8593,33.6198
2019,1,1,11,30,83,1010,789,83,1010,789,0,0.7,45.69,0,0.13,0.8,0.7,208,24.37,22,780,46.2407,36.3006
2019,1,1,12,0,87,1013,822,87,1013,822,0,0.7,43.48,0,0.13,0.8,0.8,219,23.43,22.6,780,48.4819,38.0774
2019,1,1,12,30,92,1007,835,88,1014,837,0,0.6,42.42,0,0.13,0.8,0.8,229,22.98,22.9,779,49.3884,38.7971
2019,1,1,13,0,217,741,762,91,1006,831,7,0.8,42.62,0,0.13,0.8,0.9,238,22.59,23.3,779,45.047,35.3854
2019,1,1,13,30,128,920,789,91,996,807,0,0.8,44.04,0,0.13,0.8,0.9,248,22.59,23.3,779,46.4634,36.4881
2019,1,1,14,0,121,916,750,92,980,765,0,0.9,46.59,0,0.13,0.7,0.9,258,22.91,23.3,778,43.8332,34.4036
2019,1,1,14,30,200,667,628,89,958,704,7,0.9,50.08,0,0.13,0.5,1,306,23.19,23.1,778,36.2691,28.4411
