Year,Month,Day,Hour,Minute,DNI,Cloud Type,Relative Humidity,Temperature
2000,1,1,0,30,0,0,90.37,7
2000,1,1,1,30,0,0,87.08,7
2000,1,1,2,30,0,0,84.46,6
2000,1,1,3,30,0,0,84.05,6
2000,1,1,4,30,0,0,85.88,6
2000,1,1,5,30,0,0,94.04,6
2000,1,1,6,30,0,0,94.52,6
2000,1,1,7,30,248,0,76.38,8
2000,1,1,8,30,696,0,60.5,13
2000,1,1,9,30,808,0,38.43,17
2000,1,1,10,30,903,0,26.26,20
2000,1,1,11,30,948,0,23.28,22
2000,1,1,12,30,965,0,21.32,23
2000,1,1,13,30,953,0,19.96,23
2000,1,1,14,30,915,0,21.37,23
2000,1,1,15,30,780,0,22.9,22
2000,1,1,16,30,638,0,26.98,20
2000,1,1,17,30,336,0,46.07,15
2000,1,1,18,30,0,0,54.83,12
2000,1,1,19,30,0,0,58.44,11
2000,1,1,20,30,0,0,66.17,10
2000,1,1,21,30,0,0,69.79,9
2000,1,1,22,30,0,0,74.13,8
2000,1,1,23,30,0,0,74.51,7
2000,1,2,0,30,0,0,80.65,7
2000,1,2,1,30,0,0,80.73,6
2000,1,2,2,30,0,0,78.72,6
2000,1,2,3,30,0,0,79.64,6
2000,1,2,4,30,0,0,73.6,6
2000,1,2,5,30,0,0,67.97,6
2000,1,2,6,30,0,0,63.34,6
2000,1,2,7,30,411,1,50.56,9
2000,1,2,8,30,829,0,44.55,13
2000,1,2,9,30,964,0,29.25,18
2000,1,2,10,30,1030,0,18.43,21
2000,1,2,11,30,1064,0,14.61,22
2000,1,2,12,30,1079,0,12.49,23
2000,1,2,13,30,1075,0,11.19,23
2000,1,2,14,30,1052,0,11.62,23
2000,1,2,15,30,1001,0,12.45,22
2000,1,2,16,30,893,0,15.42,19
2000,1,2,17,30,619,0,33.5,15
2000,1,2,18,30,0,0,41.48,12
2000,1,2,19,30,0,0,42.4,11
2000,1,2,20,30,0,0,44.72,11
2000,1,2,21,30,0,0,47.52,10
2000,1,2,22,30,0,0,47.09,9
2000,1,2,23,30,0,0,50.58,9
2000,1,3,0,30,0,0,50.91,9
2000,1,3,1,30,0,0,51.11,8
2000,1,3,2,30,0,0,51.21,8
2000,1,3,3,30,0,0,51.22,8
2000,1,3,4,30,0,0,51.15,8
2000,1,3,5,30,0,0,54.72,8
2000,1,3,6,30,0,0,54.75,8
2000,1,3,7,30,301,0,49.79,10
2000,1,3,8,30,743,0,45.59,14
2000,1,3,9,30,903,0,34.26,18
2000,1,3,10,30,974,0,25.75,21
2000,1,3,11,30,1006,0,22.53,22
2000,1,3,12,30,1002,0,20.21,23
2000,1,3,13,30,985,0,18.76,24
2000,1,3,14,30,945,0,20.08,23
2000,1,3,15,30,834,0,21.52,22
2000,1,3,16,30,685,0,25.6,20
2000,1,3,17,30,356,0,44.67,16
2000,1,3,18,30,0,0,55.27,13
2000,1,3,19,30,0,0,59.72,12
2000,1,3,20,30,0,0,63.37,10
2000,1,3,21,30,0,0,66.78,10
2000,1,3,22,30,0,0,70.88,9
2000,1,3,23,30,0,0,71.45,8
2000,1,4,0,30,0,0,78.15,8
2000,1,4,1,30,0,0,86.25,7
2000,1,4,2,30,0,0,90.19,7
2000,1,4,3,30,0,0,96.91,7
2000,1,4,4,30,0,0,100,7
2000,1,4,5,30,0,0,100,6
2000,1,4,6,30,0,0,100,5
2000,1,4,7,30,150,0,89.31,5
2000,1,4,8,30,637,0,66.83,7
2000,1,4,9,30,731,0,51.39,10
2000,1,4,10,30,842,0,38.94,12
2000,1,4,11,30,898,0,31.41,15
2000,1,4,12,30,775,0,29.88,17
2000,1,4,13,30,770,1,28.23,18
2000,1,4,14,30,76,3,26.46,18
2000,1,4,15,30,273,3,28.26,17
2000,1,4,16,30,195,3,32.59,16
2000,1,4,17,30,29,3,46.24,13
2000,1,4,18,30,0,1,59.27,10
2000,1,4,19,30,0,0,66.4,8
2000,1,4,20,30,0,0,69.37,6
2000,1,4,21,30,0,0,73.83,5
2000,1,4,22,30,0,0,79.63,5
2000,1,4,23,30,0,0,79.25,4
2000,1,5,0,30,0,0,83.82,4
2000,1,5,1,30,0,0,82.22,4
2000,1,5,2,30,0,0,80.79,3
2000,1,5,3,30,0,0,80.12,3
2000,1,5,4,30,0,0,80.38,3
2000,1,5,5,30,0,0,81.39,3
2000,1,5,6,30,0,0,82.45,3
2000,1,5,7,30,52,0,68.51,6
2000,1,5,8,30,378,0,55.37,11
2000,1,5,9,30,662,0,38.61,15
2000,1,5,10,30,773,0,31.05,18
2000,1,5,11,30,828,0,28.81,20
2000,1,5,12,30,844,0,26.65,21
2000,1,5,13,30,827,0,24.75,21
2000,1,5,14,30,774,0,26.14,21
2000,1,5,15,30,636,0,27.66,20
2000,1,5,16,30,467,0,31.92,18
2000,1,5,17,30,188,0,46.98,15
2000,1,5,18,30,0,1,52.36,13
2000,1,5,19,30,0,0,55.8,11
2000,1,5,20,30,0,0,59.47,10
2000,1,5,21,30,0,0,67.2,9
2000,1,5,22,30,0,0,70.24,8
2000,1,5,23,30,0,0,68.12,8
2000,1,6,0,30,0,0,66.23,7
2000,1,6,1,30,0,0,69.46,7
2000,1,6,2,30,0,0,68.54,6
2000,1,6,3,30,0,0,73.05,6
2000,1,6,4,30,0,0,73.02,6
2000,1,6,5,30,0,0,73.25,6
2000,1,6,6,30,0,0,73.24,6
2000,1,6,7,30,191,3,64.6,8
2000,1,6,8,30,645,0,50.04,13
2000,1,6,9,30,780,0,37.82,16
2000,1,6,10,30,868,0,28.05,19
2000,1,6,11,30,906,0,25.24,20
2000,1,6,12,30,877,0,23.22,21
2000,1,6,13,30,859,0,21.67,22
2000,1,6,14,30,808,0,23.05,21
2000,1,6,15,30,634,0,24.88,20
2000,1,6,16,30,463,0,29.1,18
2000,1,6,17,30,195,0,45.28,14
2000,1,6,18,30,0,1,51.61,12
2000,1,6,19,30,0,1,54.62,11
2000,1,6,20,30,0,0,64.1,10
2000,1,6,21,30,0,0,65.01,10
2000,1,6,22,30,0,1,64.49,9
2000,1,6,23,30,0,0,67.77,8
2000,1,7,0,30,0,0,71,8
2000,1,7,1,30,0,0,74.42,7
2000,1,7,2,30,0,0,73.12,7
2000,1,7,3,30,0,0,72.53,7
2000,1,7,4,30,0,0,72.73,6
2000,1,7,5,30,0,0,78.92,6
2000,1,7,6,30,0,0,79.82,6
2000,1,7,7,30,109,1,70.39,8
2000,1,7,8,30,507,0,56.56,12
2000,1,7,9,30,727,0,41.01,15
2000,1,7,10,30,819,0,31.1,18
